Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.0012,35.7497
0.0014,38.2016
0.0016,38.7639
0.0018,38.3693
0.002,37.5803
0.0022,36.544
0.0024,35.3421
0.0026,33.7036
0.0028,31.5929
0.003,29.3748
0.0032,27.6047
0.0034,26.0001
0.0036,24.5876
0.0038,23.3353
0.004,22.1497
0.0042,20.9539
0.0044,19.8966
0.0046,18.9987
0.0048,18.1119
0.005,17.2839
0.0052,16.4876
0.0054,15.8239
0.0056,15.2683
0.0058,14.6582
0.006,14.1317
0.0062,13.6272
0.0064,13.1535
0.0066,12.6326

Specimen 17
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.59442
0.0004,14.7401
0.0006,21.5092
0.0008,27.6467
0.001,32.8535
0.0012,36.4212
0.0014,38.6278
0.0016,39.7426
0.0018,40.4158
0.002,39.9613
0.0022,39.0868
0.0024,37.7705
0.0026,35.2592
0.0028,32.1144
0.003,28.9842
0.0032,26.2241
0.0034,23.9618
0.0036,22.1182
0.0038,20.6308
0.004,19.2486
0.0042,18.1171
0.0044,17.2674
0.0046,16.4749
0.0048,15.7307
0.005,15.0287
0.0052,14.3287
0.0054,13.629
0.0056,13.054
0.0058,12.5179
0.006,11.9957
0.0062,11.5136
0.0064,11.0365
0.0066,10.5726

Specimen 18
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.27038
0.0004,15.6083
0.0006,22.4912
0.0008,28.8554
0.001,34.4775
0.0012,39.182
0.0014,43.0832
0.0016,45.834
0.0018,47.2337
0.002,46.2471
0.0022,43.0134
0.0024,40.776
0.0026,39.0953
0.0028,36.8953
0.003,33.7651
0.0032,30.6421
0.0034,27.9754
0.0036,25.904
0.0038,24.1173
0.004,22.4825
0.0042,20.8
0.0044,19.2514
0.0046,18.1179
0.0048,16.8652
0.005,15.6361
0.0052,14.5559
0.0054,13.6607
0.0056,12.9125
0.0058,12.2451
0.006,11.707
0.0062,11.2029
0.0064,10.7665
0.0066,10.3973

Specimen 19
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.65792
0.0004,16.3526
0.0006,23.6247
0.0008,30.1451
0.001,35.6304
0.0012,39.7923
0.0014,41.5251
0.0016,41.9496
0.0018,41.887
0.002,40.269
0.0022,37.7202
0.0024,36.17
0.0026,35.328
0.0028,34.4464
0.003,32.8864
0.0032,31.0732
0.0034,29.1336
0.0036,27.3226
0.0038,25.6257
0.004,24.1304
0.0042,22.7588
0.0044,21.4149
0.0046,19.8352
0.0048,18.5287
0.005,17.4664
0.0052,16.4832
0.0054,15.5378
0.0056,14.7516
0.0058,13.9332
0.006,13.1844
0.0062,12.4575
0.0064,11.9831
0.0066,11.5225

Specimen 20
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.52672
0.0004,14.5313
0.0006,21.2902
0.0008,27.4517
0.001,32.9399
0.0012,37.3187
0.0014,39.6389
0.0016,41.8782
0.0018,42.4064
0.002,41.214
0.0022,38.8153
0.0024,37.1471
0.0026,34.8889
0.0028,32.594
0.003,30.2643
0.0032,28.0835
0.0034,26.1168
0.0036,24.4475
0.0038,23.0017
0.004,21.6331
0.0042,20.5389
0.0044,19.5632
0.0046,18.721
0.0048,17.8616
0.005,16.8754
0.0052,16.0733
0.0054,15.3061
0.0056,14.6301
0.0058,13.9503
0.006,13.355
0.0062,12.8046
0.0064,12.2884
0.0066,11.763

Specimen 21
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.1912
0.0004,15.5566
0.0006,22.0949
0.0008,27.6709
0.001,32.1761
0.0012,35.6291
0.0014,38.268
0.0016,40.0569
0.0018,41.0789
0.002,40.8991
0.0022,39.2535
0.0024,37.26
0.0026,35.7929
0.0028,34.4932
0.003,32.6263
0.0032,30.3842
0.0034,28.6185
0.0036,27.1167
0.0038,25.614
0.004,24.3224
0.0042,23.1371
0.0044,22.0083
0.0046,21.0408
0.0048,20.1644
0.005,19.3359
0.0052,18.4875
0.0054,17.6407
0.0056,16.8699
0.0058,16.1633
0.006,15.4482
0.0062,14.7578
0.0064,14.0908
0.0066,13.4517

Specimen 22
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.26626
0.0004,15.52112
0.0006,22.21962
0.0008,28.43024
0.001,33.80469
0.0012,37.95959
0.0014,40.67735
0.0016,41.41265
0.0018,41.12442
0.002,40.11118
0.0022,37.6853
0.0024,34.70221
0.0026,32.00086
0.0028,29.2356
0.003,26.31896
0.0032,23.48554
0.0034,20.96996
0.0036,18.99581
0.0038,17.43351
0.004,16.11124
0.0042,14.95427
0.0044,13.93923
0.0046,13.058
0.0048,12.30004
0.005,11.63622
0.0052,11.01377
0.0054,10.44313
0.0056,9.97155
0.0058,9.57422
0.006,9.24242
0.0062,8.93833
