Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.0004,14.778257
0.0006,19.40616
0.0008,23.246999
0.001,25.571965
0.0012,26.205733
0.0014,26.200964
0.0016,25.90645
0.0018,25.50927
0.002,24.9091
0.0022,24.16477
0.0024,23.42198
0.0026,22.72136
0.0028,22.00626
0.003,21.29206
0.0032,20.58203
0.0034,19.79493
0.0036,18.86494
0.0038,17.92344
0.004,17.04814
0.0042,16.21055
0.0044,15.42849
0.0046,14.68024
0.0048,13.93359
0.005,13.19185
0.0052,12.42679
0.0054,11.65718
0.0056,10.97539
0.0058,10.36365
0.006,9.82516
0.0062,9.34686
0.0064,8.87021
0.0066,8.40164
0.0068,7.94386
0.007,7.51224

Specimen 28
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.366977
0.0004,14.831393
0.0006,19.861595
0.0008,23.927396
0.001,26.110747
0.0012,26.650457
0.0014,26.692637
0.0016,26.46438
0.0018,25.86256
0.002,25.18636
0.0022,24.31442
0.0024,23.33632
0.0026,22.26453
0.0028,21.07096
0.003,19.9711
0.0032,19.0242
0.0034,18.15049
0.0036,17.32015
0.0038,16.54946
0.004,15.86027
0.0042,15.23234
0.0044,14.64556
0.0046,14.10344
0.0048,13.61343
0.005,13.14825
0.0052,12.68832
0.0054,12.25384
0.0056,11.84755
0.0058,11.46391
0.006,11.09918
0.0062,10.7371
0.0064,10.3768
0.0066,10.01174
0.0068,9.64588
0.007,9.27887

Specimen 29
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,6.82741
0.0004,12.771617
0.0006,17.875533
0.0008,22.109939
0.001,25.28604
0.0012,27.490227
0.0014,28.754973
0.0016,29.35643
0.0018,29.28896
0.002,28.76628
0.0022,27.98107
0.0024,27.07725
0.0026,26.11071
0.0028,25.09799
0.003,24.03562
0.0032,22.97479
0.0034,21.9412
0.0036,20.94232
0.0038,20.01119
0.004,19.12992
0.0042,18.28611
0.0044,17.48038
0.0046,16.71314
0.0048,15.97925
0.005,15.27003
0.0052,14.57893
0.0054,13.87681
0.0056,13.17144
0.0058,12.464
0.006,11.76956
0.0062,11.13819
0.0064,10.54768
0.0066,9.97164
0.0068,9.42961
0.007,8.95485

Specimen 30
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.231827
0.0004,13.176923
0.0006,18.134751
0.0008,22.052541
0.001,24.84761
0.0012,26.781641
0.0014,28.075287
0.0016,28.51663
0.0018,28.61454
0.002,28.0517
0.0022,27.22657
0.0024,26.17621
0.0026,25.11485
0.0028,24.03696
0.003,23.0851
0.0032,22.24197
0.0034,21.37727
0.0036,20.48904
0.0038,19.58172
0.004,18.64777
0.0042,17.77822
0.0044,16.97575
0.0046,16.26234
0.0048,15.6407
0.005,15.04416
0.0052,14.46416
0.0054,13.9194
0.0056,13.40629
0.0058,12.91046
0.006,12.43104
0.0062,11.96798
0.0064,11.50631
0.0066,11.02299
0.0068,10.54541
0.007,10.07988

Specimen 31
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,6.71823
0.0004,12.614073
0.0006,17.262353
0.0008,20.571836
0.001,22.694685
0.0012,24.039218
0.0014,24.784943
0.0016,24.95881
0.0018,24.9232
0.002,24.23414
0.0022,23.30806
0.0024,22.59689
0.0026,21.98698
0.0028,21.45192
0.003,20.84165
0.0032,20.18043
0.0034,19.50477
0.0036,18.80605
0.0038,18.06635
0.004,17.32807
0.0042,16.65461
0.0044,16.01065
0.0046,15.36961
0.0048,14.7543
0.005,14.18568
0.0052,13.64662
0.0054,13.12957
0.0056,12.63097
0.0058,12.14731
0.006,11.67938
0.0062,11.22704
0.0064,10.78627
0.0066,10.35585
0.0068,9.91884
0.007,9.48463

Specimen 32
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.9212
0.0004,14.437313
0.0006,19.915609
0.0008,24.243049
0.001,27.294417
0.0012,29.383378
0.0014,30.591349
0.0016,31.16893
0.0018,31.18201
0.002,31.08749
0.0022,30.37415
0.0024,29.42403
0.0026,28.12351
0.0028,26.52672
0.003,24.48511
0.0032,22.41024
0.0034,20.72657
0.0036,19.33711
0.0038,18.10721
0.004,17.00501
0.0042,16.0194
0.0044,15.11586
0.0046,14.29084
0.0048,13.48169
0.005,12.67868
0.0052,11.92181
0.0054,11.21942
0.0056,10.54587
0.0058,9.89172
0.006,9.26741
0.0062,8.6708
0.0064,8.11593
0.0066,7.61039
0.0068,7.1264
0.007,6.65481

Specimen 33
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,6.807343
0.0004,12.190143
0.0006,16.389124
0.0008,19.644761
0.001,22.162895
0.0012,24.08255
0.0014,25.397788
0.0016,26.08814
0.0018,26.28739
0.002,26.19101
0.0022,25.80591
0.0024,24.90416
0.0026,23.92896
0.0028,22.77462
0.003,21.48522
0.0032,19.92458
0.0034,18.35023
0.0036,17.13966
0.0038,16.17268
0.004,15.28048
0.0042,14.44292
0.0044,13.65638
0.0046,12.91288
0.0048,12.21091
0.005,11.54839
0.0052,10.91585
0.0054,10.30101
0.0056,9.73163
0.0058,9.21692
0.006,8.74635
0.0062,8.32033
0.0064,7.90023
0.0066,7.47655
0.0068,7.09755
0.007,6.75891
